state,move,class
2rr2k1/p4pp1/q1n1b2p/1pP1Pp2/3p4/1P1N4/PB2QPPP/R4RK1 b - - 3 19,b5b4,1
2rr2k1/p4pp1/q1n1b2p/2P1Pp2/1p1p4/1P1N1Q2/PB3PPP/R4RK1 b - - 1 20,a6b5,1
2rr2k1/p4pp1/2n1b2p/1qP1Pp2/1p1p4/1P1N2Q1/PB3PPP/R4RK1 b - - 3 21,a7a5,1
2rr2k1/5pp1/2n1b2p/pqP1Pp2/1p1p4/1P1N2Q1/PB3PPP/R2R2K1 b - - 1 22,a5a4,1
2rr2k1/5pp1/2n1b2p/1qP1Pp2/Pp1p4/3N2Q1/PB3PPP/R2R2K1 b - - 0 23,b5a4,1
2rr2k1/5pp1/2n1b2p/2P1Pp2/qp1p4/P2N2Q1/1B3PPP/R2R2K1 b - - 0 24,b4a3,1
2rr2k1/5pp1/2n1b2p/2P1Pp2/q2p4/B2N2Q1/5PPP/R2R2K1 b - - 0 25,c8a8,1
r2r2k1/5pp1/2n1b2p/2P1Pp2/q2p1N2/B5Q1/5PPP/R2R2K1 b - - 2 26,d4d3,1
r2r2k1/5pp1/2n1b2p/2P1Pp2/q4N2/B2p2QP/5PP1/R2R2K1 b - - 0 27,a4d4,1
r2r2k1/5pp1/2n1b2p/2P1Pp1N/3q4/B2p2QP/5PP1/R2R2K1 b - - 2 28,g7g5,1
r2r2k1/5p2/2n1b2p/2P1PppN/3q3P/B2p2Q1/5PP1/R2R2K1 b - - 0 29,f5f4,1
r2r2k1/5p2/2n1b2p/2P1P1pN/3q1p1P/B2p1Q2/5PP1/R2R2K1 b - - 1 30,c6e5,1
r2r2k1/5p2/4b2p/2P1n1pN/3qQp1P/B2p4/5PP1/R2R2K1 b - - 1 31,d4e4,1
r2r2k1/5p2/4bN1p/2P1n1p1/4qp1P/B2p4/5PP1/R2R2K1 b - - 1 32,g8g7,1
r2r4/5pk1/4b2p/2P1n1p1/4Np1P/B2p4/5PP1/R2R2K1 b - - 0 33,e6b3,1
r2r4/5pk1/7p/2P1n1p1/4Np1P/Bb1p4/5PP1/RR4K1 b - - 2 34,b3d5,1
r2r4/5pk1/7p/2Pbn1p1/5p1P/B2p4/3N1PP1/RR4K1 b - - 4 35,g7g6,1
r2r4/5p2/6kp/2Pbn1P1/5p2/B2p4/3N1PP1/RR4K1 b - - 0 36,h6g5,1
r2r4/5p2/6k1/2Pbn1p1/5p2/3p4/1B1N1PP1/RR4K1 b - - 1 37,g6f5,1
r2r4/5p2/8/2Pbnkp1/5p2/3p4/1B1N1PP1/R3R1K1 b - - 3 38,a8a1,1
3r4/5p2/8/2Pbnkp1/5p2/3p4/1B1N1PP1/R5K1 b - - 0 39,d8c8,1
2r5/5p2/8/2Pbnkp1/3B1p2/3p4/3N1PP1/R5K1 b - - 2 40,c8e8,1
4r3/5p2/8/2Pbnkp1/3B1p2/R2p4/3N1PP1/6K1 b - - 4 41,e5c6,1
4r3/5p2/2n5/2Pb1kp1/3B1p2/3R4/3N1PP1/6K1 b - - 0 42,e8e1,1
8/5p2/2n5/2Pb1kp1/3B1p2/3R4/3N1PPK/4r3 b - - 2 43,d5e4,1
8/5p2/2n5/2P2kp1/3BNp2/3R4/5PPK/4r3 b - - 0 44,f5e4,1
8/5p2/2n5/2P3p1/4kp2/2BR4/5PPK/4r3 b - - 1 45,e4d3,1
8/5p2/2n5/2P3p1/5p2/3k4/5PPK/4B3 b - - 0 46,d3e2,1
8/5p2/2n5/2P3p1/5p2/2B5/4kPPK/8 b - - 2 47,e2f2,1
8/5p2/2n2B2/2P3p1/5p2/8/5kPK/8 b - - 1 48,g5g4,1
8/5p2/2n5/2P5/5ppB/8/5kPK/8 b - - 1 49,g4g3,1
8/5p2/2n5/2P5/5p1B/6pK/5kP1/8 b - - 1 50,f7f5,1
8/8/2n5/2P2pB1/5p2/6pK/5kP1/8 b - - 1 51,f4f3,1
8/8/2n5/2P2p2/7B/5ppK/5kP1/8 b - - 1 52,f3g2,1
8/8/2n5/2P2p2/8/6BK/5kp1/8 b - - 0 53,f2f1,1
8/8/2n5/2P2p2/8/7K/6pB/5k2 b - - 2 54,c6e5,1
