state,move,class
rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3,a2a4,0
rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4,b2b4,0
rnbqkbnr/1pp1pppp/8/p7/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5,d2d4,0
rnbqkbnr/1pp1pppp/8/8/Pp1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6,e2e4,0
rnbqkbnr/1pp2ppp/4p3/8/Pp1PP3/2p5/2P2PPP/1RBQKBNR w Kkq - 0 7,f2f4,0
rnbqkb1r/1pp2ppp/4pn2/8/Pp1PPP2/2p5/2P3PP/1RBQKBNR w Kkq - 1 8,g2g4,0
rnbqkb1r/1pp2ppp/4p3/8/Pp1PnPP1/2p5/2P4P/1RBQKBNR w Kkq - 0 9,h2h4,0
rnbqkb1r/1pp2ppp/4p3/8/Pp1P1PPP/2p3n1/2P5/1RBQKBNR w Kkq - 1 10,a4a5,0
rnbqkb1r/1pp2ppp/4p3/P7/1p1P1PPP/2p5/2P5/1RBQKBNn w kq - 0 11,d4d5,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PPq/2p5/2P5/1RBQKBNn w kq - 0 12,e1e2,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P1K2q/1RBQ1BNn w kq - 2 13,f1g2,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P1K1q1/1RBQ2Nn w kq - 0 14,e2d3,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2pK4/2P2nq1/1RBQ2N1 w kq - 2 15,d3e2,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P1K1q1/1RBn2N1 w kq - 0 16,e2e1,0
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P2q2/1RBnK1N1 w kq - 2 17,e1d1,0
rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1,d7d5,1
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2,d5d4,1
rnbqkbnr/ppp1pppp/8/8/P2p4/2N5/1PPPPPPP/1RBQKBNR b Kkq - 0 3,d4c3,1
rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4,a7a5,1
rnbqkbnr/1pp1pppp/8/p7/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5,a5b4,1
rnbqkbnr/1pp1pppp/8/8/Pp1PP3/2p5/2P2PPP/1RBQKBNR b Kkq - 0 6,e7e6,1
rnbqkbnr/1pp2ppp/4p3/8/Pp1PPP2/2p5/2P3PP/1RBQKBNR b Kkq - 0 7,g8f6,1
rnbqkb1r/1pp2ppp/4pn2/8/Pp1PPPP1/2p5/2P4P/1RBQKBNR b Kkq - 0 8,f6e4,1
rnbqkb1r/1pp2ppp/4p3/8/Pp1PnPPP/2p5/2P5/1RBQKBNR b Kkq - 0 9,e4g3,1
rnbqkb1r/1pp2ppp/4p3/P7/1p1P1PPP/2p3n1/2P5/1RBQKBNR b Kkq - 0 10,g3h1,1
rnbqkb1r/1pp2ppp/4p3/P2P4/1p3PPP/2p5/2P5/1RBQKBNn b kq - 0 11,d8h4,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PPq/2p5/2P1K3/1RBQ1BNn b kq - 1 12,h4h2,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P1K1Bq/1RBQ2Nn b kq - 3 13,h2g2,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2pK4/2P3q1/1RBQ2Nn b kq - 1 14,h1f2,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P1Knq1/1RBQ2N1 b kq - 3 15,f2d1,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P3q1/1RBnK1N1 b kq - 1 16,g2f2,1
rnb1kb1r/1pp2ppp/4p3/P2P4/1p3PP1/2p5/2P2q2/1RBK2N1 b kq - 0 17,f2f1,1
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,b1c3,0
rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2,a1b1,0
rnbqkbnr/ppp1pppp/8/8/3p4/2N5/PPPPPPPP/1RBQKBNR w Kkq - 0 3,a2a4,0
rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4,b2b4,0
rnbqkb1r/ppp1pppp/5n2/8/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 1 5,d2d4,0
rnbqkb1r/ppp2ppp/5n2/4p3/PP1P4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6,e2e4,0
rnb1kb1r/ppp2ppp/5n2/4p3/PP1qP3/2p5/2P2PPP/1RBQKBNR w Kkq - 0 7,f2f4,0
rnb1kb1r/ppp2ppp/5n2/4p3/PP2qP2/2p5/2P3PP/1RBQKBNR w Kkq - 0 8,c1e3,0
rnb1kb1r/ppp2ppp/5n2/4p3/PP3P2/2p1q3/2P3PP/1R1QKBNR w Kkq - 0 9,d1e2,0
