{'state': 'rnbqkbnr/ppp1pppp/8/8/P7/2p5/1PPPPPPP/1RBQKBNR w Kkq - 0 4', 'move2': Move.from_uci('d4c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/8/PP6/2p5/2PPPPPP/1RBQKBNR b Kkq - 0 4', 'move1': Move.from_uci('b2b4')}
{'state': 'rnbqkbnr/ppp2ppp/8/4p3/PP6/2p5/2PPPPPP/1RBQKBNR w Kkq - 0 5', 'move2': Move.from_uci('e7e5')}
{'state': 'rnbqkbnr/ppp2ppp/8/4p3/PP1P4/2p5/2P1PPPP/1RBQKBNR b Kkq - 0 5', 'move1': Move.from_uci('d2d4')}
{'state': 'rnb1kbnr/ppp2ppp/8/4p3/PP1q4/2p5/2P1PPPP/1RBQKBNR w Kkq - 0 6', 'move2': Move.from_uci('d8d4')}
{'state': 'rnb1kbnr/ppp2ppp/8/4p3/PP1qP3/2p5/2P2PPP/1RBQKBNR b Kkq - 0 6', 'move1': Move.from_uci('e2e4')}
{'state': 'rnb1kbnr/ppp2ppp/8/4p3/PP2q3/2p5/2P2PPP/1RBQKBNR w Kkq - 0 7', 'move2': Move.from_uci('d4e4')}
{'state': 'rnb1kbnr/ppp2ppp/8/4p3/PP2q3/2p1B3/2P2PPP/1R1QKBNR b Kkq - 1 7', 'move1': Move.from_uci('c1e3')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP2q3/2p1B3/2P2PPP/1R1QKBNR w Kkq - 2 8', 'move2': Move.from_uci('b8c6')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP2qP2/2p1B3/2P3PP/1R1QKBNR b Kkq - 0 8', 'move1': Move.from_uci('f2f4')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP3P2/2p1q3/2P3PP/1R1QKBNR w Kkq - 0 9', 'move2': Move.from_uci('e4e3')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP3P2/2p1q3/2P1Q1PP/1R2KBNR b Kkq - 1 9', 'move1': Move.from_uci('d1e2')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP3q2/2p5/2P1Q1PP/1R2KBNR w Kkq - 0 10', 'move2': Move.from_uci('e3f4')}
{'state': 'r1b1kbnr/ppp2ppp/2n5/4p3/PP3qP1/2p5/2P1Q2P/1R2KBNR b Kkq - 0 10', 'move1': Move.from_uci('g2g4')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP3qb1/2p5/2P1Q2P/1R2KBNR w Kkq - 0 11', 'move2': Move.from_uci('c8g4')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP3qbP/2p5/2P1Q3/1R2KBNR b Kkq - 0 11', 'move1': Move.from_uci('h2h4')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP3q1P/2p5/2P1b3/1R2KBNR w Kkq - 0 12', 'move2': Move.from_uci('g4e2')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP3q1P/2p5/2P1K3/1R3BNR b kq - 0 12', 'move1': Move.from_uci('e1e2')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP5P/2p5/2PqK3/1R3BNR w kq - 1 13', 'move2': Move.from_uci('f4d2')}
{'state': 'r3kbnr/ppp2ppp/2n5/4p3/PP5P/2p2K2/2Pq4/1R3BNR b kq - 2 13', 'move1': Move.from_uci('e2f3')}
{'state': 'r3kbnr/ppp2ppp/8/4p3/PP1n3P/2p2K2/2Pq4/1R3BNR w kq - 3 14', 'move2': Move.from_uci('c6d4')}
{'state': 'r3kbnr/ppp2ppp/8/4p3/PP1n3P/2p3K1/2Pq4/1R3BNR b kq - 4 14', 'move1': Move.from_uci('f3g3')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP5P/2p3K1/2Pq4/1R3BNR w kq - 5 15', 'move2': Move.from_uci('d4f5')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP5P/2p2K2/2Pq4/1R3BNR b kq - 6 15', 'move1': Move.from_uci('g3f3')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP3q1P/2p2K2/2P5/1R3BNR w kq - 7 16', 'move2': Move.from_uci('d2f4')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP3q1P/2p5/2P1K3/1R3BNR b kq - 8 16', 'move1': Move.from_uci('f3e2')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP5P/2p1q3/2P1K3/1R3BNR w kq - 9 17', 'move2': Move.from_uci('f4e3')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP5P/2p1q3/2P5/1R1K1BNR b kq - 10 17', 'move1': Move.from_uci('e2d1')}
{'state': 'r3kbnr/ppp2ppp/8/4pn2/PP5P/2p5/2Pq4/1R1K1BNR w kq - 11 18', 'move2': Move.from_uci('e3d2')}
END OF GAME, AGENT 2 (Winner.BLACK) won{'state': 'rnbqkbnr/pppppppp/8/8/8/2N5/PPPPPPPP/R1BQKBNR b KQkq - 1 1', 'move1': Move.from_uci('b1c3')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq - 0 2', 'move2': Move.from_uci('d7d5')}
{'state': 'rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/1RBQKBNR b Kkq - 1 2', 'move1': Move.from_uci('a1b1')}
